newDATANUMBER,oldDATANUMBER,DATABASE,Number,Proben ID,Event label,Device,Station,Depth(m),Date,Year,Month,Day,Time(UTC),lon,lat,MgDVP,Chla,Diva,Chlida,MTChla,Chlb,Divb,Chlidb,MTChlb,Chl c1+2,Chl c3,MTChlc,Peridinin,19-But,19-Hex,Fuco,Prasino,MPSC,Zea,Lutein,Diadino,Diato,a-caroten,b-caroten,Neo,MTViola_Neo,Allo,MTZea_Lut,Viola,MTDD_DT,MTAlpha_Beta,MPPC,NumberPPC,MYFLAG5,MTC,MAP,MTP,M(TChla-AP)/TP%,MYFLAG3,MDP,MfdChla
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,6.6,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.763,0,0.005,0.768,0.522,0,NA,0.522,0,0.09,0.201,0.044,0.047,0,0.165,0.055,0.311,0.134,0,0.13,0.007,0,NA,0.047,0.068,0.015,0.134,0.021,0.137,0,0.307,5,0,0.618,1.341,2.109,27.16927454,3,0.9626,0.241689175
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,26.3,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.339,0,0.001,0.34,0.321,0,NA,0.321,0,0.043,0.082,0.018,0.029,0,0.064,0.032,0.143,0.037,0.001,0.031,0.002,0,NA,0.027,0.034,0.011,0.038,0.007,0.033,0,0.089,5,0,0.232,0.635,0.975,30.25641026,3,0.4884,0.184766585
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,50.7,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.115,0,0.001,0.116,0.13,0,NA,0.13,0,0.029,0.062,0.005,0.021,0,0.028,0.015,0.069,0.01,0.001,0.012,0.001,0,NA,0.011,0.014,0.007,0.011,0.003,0.013,0,0.034,5,0,0.103,0.295,0.411,43.55231144,3,0.19798,0.199414082
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,76.1,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.069,0,0.001,0.07,0.07,0,NA,0.07,0,0.018,0.039,0.004,0.015,0,0.019,0.009,0.047,0.006,0,0.009,0.001,0,NA,0.004,0.006,0.007,0.006,0.002,0.01,0,0.025,5,0,0.072,0.181,0.251,44.22310757,3,0.11774,0.227535247
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,101.4,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.048,0,0.001,0.049,0.043,0,NA,0.043,0,0.014,0.031,0.002,0.01,0,0.015,0.007,0.034,0.006,0,0.008,0.001,0,NA,0.003,0.003,0.006,0.006,0,0.009,0,0.021,5,0,0.055,0.129,0.178,44.94382022,3,0.07966,0.265503389
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,127,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.041,0,0.001,0.042,0.037,0,NA,0.037,0,0.013,0.033,0,0.009,0,0.013,0.006,0.028,0.004,0,0.006,0,0,NA,0.002,0.003,0.004,0.004,0.001,0.006,0,0.015,5,0,0.043,0.113,0.155,45.80645161,3,0.06469,0.283351368
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,152,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.026,0,0.001,0.027,0.026,0,NA,0.026,0,0.009,0.017,0.002,0.006,0,0.01,0.005,0.023,0.003,0,0.005,0,0,NA,0,0.001,0.003,0.003,0.001,0.005,0,0.012,5,0,0.035,0.078,0.105,48.57142857,3,0.04966,0.283930729
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,175.4,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.027,0,0.001,0.028,0.027,0,NA,0.027,0,0.008,0.016,0.002,0.007,0,0.011,0.005,0.025,0.003,0,0.005,0,0,NA,0.004,0.005,0.003,0.003,0.001,0.005,0,0.012,5,0,0.037,0.08,0.108,48.14814815,3,0.05243,0.295823002
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,201.5,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.017,0,0.001,0.018,0.023,0,NA,0.023,0,0.01,0.03,0,0.005,0,0.009,0.005,0.019,0.002,0,0.005,0,0,NA,0.003,0.003,0.004,0.002,0,0.005,0,0.011,5,0,0.03,0.083,0.101,64.35643564,3,0.04179,0.303661163
25,25,01_02_V3_CLIVAR,1,NA,NA,NA,2,225.5,30/10/2001,2001,10,30,03:43,146.3485,-44.006,NA,0.018,0,0,0.018,0.021,0,NA,0.021,0,0.007,0.016,0,0.004,0,0.007,0.004,0.015,0.002,0,0.004,0,0,NA,0,0.001,0.003,0.002,0.001,0.004,0,0.01,5,0,0.025,0.062,0.08,55,3,0.036,0.274166667
