CRUISE,ORIGINAL,COMPILED,Time,Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Depth,ID,Variable,Units,405,411,443,455,465,489,510,520,530,550,555,560,565,570,590,619,625,665,670,683,715,750
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-14T09:54:00Z,2003,4,14,9,54,0,115.53333,-32.53333,0,AOCWG_Apr_2003_2003-04-14T09:54:00Z,ag,m-1,0.0655,0.061,0.0399,0.034,0.0295,0.0215,0.0162,0.0143,0.0124,0.0095,0.009,0.0084,0.0078,0.0073,0.0056,0.0039,0.0035,0.0021,0.0019,0.0016,0.0011,0.0007
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-15T09:54:00Z,2003,4,15,9,54,0,115.53333,-32.53333,6,AOCWG_Apr_2003_2003-04-15T09:54:00Z,ag,m-1,0.0476,0.0442,0.028,0.0236,0.0203,0.0144,0.0107,0.0093,0.008,0.006,0.0057,0.0053,0.0049,0.0045,0.0034,0.0023,0.0021,0.0012,0.0011,0.0009,0.0006,0.0004
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-15T09:54:00Z,2003,4,15,9,54,0,115.53333,-32.53333,12.5,AOCWG_Apr_2003_2003-04-15T09:54:00Z,ag,m-1,0.0213,0.0187,0.0086,0.0064,0.005,0.0028,0.0016,0.0013,0.001,0.0006,0.0006,0.0005,0.0004,0.0004,0.0002,0.0001,0.0001,0,0,0,0,0
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T08:35:00Z,2003,4,16,8,35,0,115.70833,-32.05733,0,AOCWG_Apr_2003_2003-04-16T08:35:00Z,ag,m-1,0.2329,0.2177,0.1448,0.1243,0.1085,0.08,0.0609,0.0541,0.0472,0.0366,0.0348,0.0325,0.0304,0.0284,0.022,0.0154,0.0142,0.0085,0.008,0.0068,0.0045,0.0029
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T08:35:00Z,2003,4,16,8,35,0,115.70833,-32.05733,8,AOCWG_Apr_2003_2003-04-16T08:35:00Z,ag,m-1,0.2077,0.194,0.1288,0.1105,0.0964,0.0709,0.054,0.0479,0.0418,0.0324,0.0307,0.0287,0.0268,0.025,0.0194,0.0136,0.0124,0.0075,0.007,0.006,0.004,0.0025
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T08:35:00Z,2003,4,16,8,35,0,115.70833,-32.05733,16,AOCWG_Apr_2003_2003-04-16T08:35:00Z,ag,m-1,0.2645,0.2454,0.1564,0.1321,0.1136,0.0811,0.06,0.0526,0.0453,0.0342,0.0323,0.03,0.0278,0.0258,0.0195,0.0131,0.0119,0.0068,0.0063,0.0053,0.0034,0.002
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T09:25:00Z,2003,4,16,9,25,0,115.7225,-32.05867,0,AOCWG_Apr_2003_2003-04-16T09:25:00Z,ag,m-1,0.221,0.2066,0.1381,0.1187,0.1038,0.0767,0.0586,0.0521,0.0456,0.0354,0.0337,0.0315,0.0294,0.0275,0.0214,0.015,0.0138,0.0084,0.0078,0.0067,0.0045,0.0028
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T09:25:00Z,2003,4,16,9,25,0,115.7225,-32.05867,5,AOCWG_Apr_2003_2003-04-16T09:25:00Z,ag,m-1,0.2364,0.2214,0.1495,0.129,0.1131,0.0843,0.0648,0.0578,0.0507,0.0397,0.0378,0.0354,0.0331,0.031,0.0243,0.0172,0.0159,0.0097,0.0091,0.0078,0.0053,0.0034
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T09:25:00Z,2003,4,16,9,25,0,115.7225,-32.05867,9,AOCWG_Apr_2003_2003-04-16T09:25:00Z,ag,m-1,0.2203,0.2033,0.1254,0.1046,0.089,0.062,0.0449,0.039,0.0332,0.0245,0.0231,0.0213,0.0197,0.0181,0.0134,0.0088,0.0079,0.0043,0.004,0.0033,0.0021,0.0012
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T09:40:00Z,2003,4,16,9,40,0,115.7375,-32.05383,0,AOCWG_Apr_2003_2003-04-16T09:40:00Z,ag,m-1,0.2446,0.2281,0.1501,0.1283,0.1116,0.0815,0.0617,0.0546,0.0475,0.0365,0.0347,0.0323,0.0302,0.0281,0.0217,0.015,0.0138,0.0082,0.0076,0.0065,0.0043,0.0027
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T09:40:00Z,2003,4,16,9,40,0,115.7375,-32.05383,5,AOCWG_Apr_2003_2003-04-16T09:40:00Z,ag,m-1,0.3196,0.3015,0.2128,0.1867,0.1662,0.128,0.1014,0.0916,0.0815,0.0656,0.0628,0.0592,0.0559,0.0527,0.0424,0.0313,0.0291,0.0188,0.0177,0.0156,0.011,0.0074
AOCWG_Apr_2003,AOCWG,CSIRO,2003-04-16T09:40:00Z,2003,4,16,9,40,0,115.7375,-32.05383,10,AOCWG_Apr_2003_2003-04-16T09:40:00Z,ag,m-1,0.1852,0.1708,0.1051,0.0876,0.0745,0.0517,0.0374,0.0325,0.0276,0.0204,0.0192,0.0177,0.0163,0.015,0.0111,0.0073,0.0066,0.0036,0.0033,0.0027,0.0017,0.001
