CRUISE,ORIGINAL,COMPILED,Time,Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Depth,ID,Variable,Units,405,411,443,455,465,489,510,520,530,550,555,560,565,570,590,619,625,665,670,683,715,750
FR101997,NA,CSIRO,1997-12-01T05:26:00Z,1997,12,01,05,26,00,148.79867,-41.2765,0,FR101997_1997-12-01T05:26:00Z,ad,m-1,0.005,0.0048,0.0039,0.0037,0.0034,0.003,NA,0.0024,0.0023,0.002,0.002,0.0019,0.0018,0.0018,NA,0.0013,0.0013,0.001,0.001,0.0009,0.0007,0.0006
FR101997,NA,CSIRO,1997-12-01T05:26:00Z,1997,12,01,05,26,00,148.79867,-41.2765,30,FR101997_1997-12-01T05:26:00Z,ad,m-1,0.0063,0.0061,0.0049,0.0045,0.0042,0.0036,NA,0.0029,0.0027,0.0024,0.0023,0.0022,0.0021,0.0021,NA,0.0015,0.0014,0.0011,0.0011,0.001,0.0008,0.0006
FR101997,NA,CSIRO,1997-12-01T05:26:00Z,1997,12,01,05,26,00,148.79867,-41.2765,100,FR101997_1997-12-01T05:26:00Z,ad,m-1,0.0029,0.0028,0.002,0.0018,0.0016,0.0013,NA,0.0009,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,NA,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001
FR101997,NA,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,0,FR101997_1997-12-01T08:21:00Z,ad,m-1,0.0065,0.0061,0.0044,0.0039,0.0035,0.0028,NA,0.002,0.0018,0.0015,0.0014,0.0013,0.0013,0.0012,NA,0.0007,0.0007,0.0005,0.0004,0.0004,0.0003,0.0002
FR101997,NA,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,30,FR101997_1997-12-01T08:21:00Z,ad,m-1,0.0031,0.0029,0.0019,0.0016,0.0014,0.0011,NA,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,NA,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0
FR101997,NA,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,50,FR101997_1997-12-01T08:21:00Z,ad,m-1,0.005,0.0047,0.0034,0.003,0.0027,0.0022,NA,0.0016,0.0014,0.0011,0.0011,0.001,0.001,0.0009,NA,0.0006,0.0005,0.0004,0.0003,0.0003,0.0002,0.0002
FR101997,NA,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,100,FR101997_1997-12-01T08:21:00Z,ad,m-1,0.006,0.0057,0.0041,0.0037,0.0033,0.0026,NA,0.0019,0.0017,0.0014,0.0014,0.0013,0.0012,0.0012,NA,0.0007,0.0007,0.0005,0.0004,0.0004,0.0003,0.0002
FR101997,NA,CSIRO,1997-12-01T11:30:00Z,1997,12,01,11,30,00,148.402,-41.26233,0,FR101997_1997-12-01T11:30:00Z,ad,m-1,0.0123,0.0117,0.0086,0.0077,0.0069,0.0055,NA,0.0041,0.0037,0.0031,0.0029,0.0028,0.0027,0.0025,NA,0.0016,0.0015,0.001,0.001,0.0009,0.0006,0.0004
FR101997,NA,CSIRO,1997-12-01T11:30:00Z,1997,12,01,11,30,00,148.402,-41.26233,30,FR101997_1997-12-01T11:30:00Z,ad,m-1,0.0105,0.01,0.0076,0.0068,0.0062,0.0051,NA,0.0038,0.0035,0.0029,0.0028,0.0027,0.0026,0.0025,NA,0.0016,0.0015,0.0011,0.001,0.0009,0.0007,0.0005
FR101997,NA,CSIRO,1997-12-01T11:30:00Z,1997,12,01,11,30,00,148.402,-41.26233,45,FR101997_1997-12-01T11:30:00Z,ad,m-1,0.0117,0.0112,0.0084,0.0076,0.0069,0.0056,NA,0.0042,0.0038,0.0032,0.0031,0.0029,0.0028,0.0027,NA,0.0017,0.0016,0.0011,0.0011,0.001,0.0007,0.0005
FR101997,NA,CSIRO,1997-12-01T11:30:00Z,1997,12,01,11,30,00,148.402,-41.26233,60,FR101997_1997-12-01T11:30:00Z,ad,m-1,0.0102,0.0097,0.007,0.0062,0.0056,0.0044,NA,0.0032,0.0029,0.0023,0.0022,0.0021,0.002,0.0019,NA,0.0012,0.0011,0.0007,0.0007,0.0006,0.0004,0.0003
FR101997,NA,CSIRO,1997-12-01T17:56:00Z,1997,12,01,17,56,00,148.36767,-42.35,0,FR101997_1997-12-01T17:56:00Z,ad,m-1,0.0107,0.0102,0.0077,0.007,0.0063,0.0051,NA,0.0039,0.0035,0.003,0.0029,0.0027,0.0026,0.0025,NA,0.0016,0.0015,0.0011,0.001,0.0009,0.0007,0.0005
FR101997,NA,CSIRO,1997-12-01T17:56:00Z,1997,12,01,17,56,00,148.36767,-42.35,30,FR101997_1997-12-01T17:56:00Z,ad,m-1,0.0101,0.0097,0.0073,0.0065,0.0059,0.0048,NA,0.0036,0.0033,0.0027,0.0026,0.0025,0.0024,0.0023,NA,0.0015,0.0014,0.001,0.0009,0.0008,0.0006,0.0004
FR101997,NA,CSIRO,1997-12-01T17:56:00Z,1997,12,01,17,56,00,148.36767,-42.35,70,FR101997_1997-12-01T17:56:00Z,ad,m-1,0.004,0.0038,0.0029,0.0027,0.0024,0.002,NA,0.0015,0.0014,0.0012,0.0011,0.0011,0.001,0.001,NA,0.0007,0.0006,0.0004,0.0004,0.0004,0.0003,0.0002
