CRUISE,ORIGINAL,COMPILED,Time,Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Depth,ID,Variable,Units,405,411,443,455,465,510,520,530,550,555,560,565,570,590,619,625,665,670,683,715,750
Beagle2003Leg1,Beagle,CSIRO,2003-08-04T00:53:00Z,2003,08,04,00,53,00,153.5983,-30.0842,0,Beagle2003Leg1_2003-08-04T00:53:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0116,0.009,0.0072,0.0046,0.0042,0.0036,0.0033,0.0031,0.0037,0.0039,0.0041,0.0092,0.0122,0.011,0.0006,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-05T01:00:00Z,2003,08,05,01,00,00,154.4967,-30.0855,0,Beagle2003Leg1_2003-08-05T01:00:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0082,0.0061,0.0045,0.0025,0.0022,0.0019,0.0018,0.0017,0.0024,0.0024,0.0026,0.0056,0.0078,0.0074,0.0003,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-05T22:06:00Z,2003,08,05,22,06,00,156.5297,-30.0828,0,Beagle2003Leg1_2003-08-05T22:06:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0062,0.0046,0.0034,0.0019,0.0018,0.0015,0.0014,0.0013,0.0018,0.0018,0.0018,0.004,0.0056,0.0054,0.0003,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-06T22:22:00Z,2003,08,06,22,22,00,158.6827,-30.0773,0,Beagle2003Leg1_2003-08-06T22:22:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0077,0.0055,0.004,0.0023,0.0021,0.0018,0.0017,0.0015,0.002,0.0021,0.0022,0.005,0.0069,0.0066,0.0002,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-07T20:47:00Z,2003,08,07,20,47,00,161.5043,-30.0832,0,Beagle2003Leg1_2003-08-07T20:47:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0077,0.0056,0.0041,0.0023,0.0021,0.0018,0.0016,0.0016,0.0021,0.0021,0.0023,0.0052,0.0072,0.0065,0.0003,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-09T02:03:00Z,2003,08,09,02,03,00,165.4083,-30.0832,0,Beagle2003Leg1_2003-08-09T02:03:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0089,0.0064,0.0046,0.0025,0.0023,0.002,0.0018,0.0017,0.0024,0.0023,0.0026,0.0059,0.0082,0.0074,0.0001,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-10T00:04:00Z,2003,08,10,00,04,00,166.4913,-30.0775,0,Beagle2003Leg1_2003-08-10T00:04:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0064,0.0045,0.0032,0.0018,0.0017,0.0014,0.0012,0.0012,0.0016,0.0016,0.0018,0.0043,0.0059,0.0057,0.0001,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-11T00:47:00Z,2003,08,11,00,47,00,167.4983,-30.082,0,Beagle2003Leg1_2003-08-11T00:47:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0095,0.0068,0.005,0.0027,0.0025,0.0021,0.0019,0.0018,0.0027,0.0027,0.0028,0.0067,0.0091,0.0082,0.0004,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-11T04:03:00Z,2003,08,11,04,03,00,167.9983,-30.082,0,Beagle2003Leg1_2003-08-11T04:03:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0113,0.0081,0.0059,0.0033,0.0029,0.0024,0.0023,0.0023,0.0031,0.0032,0.0034,0.0078,0.0107,0.0092,0.0003,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-11T20:47:00Z,2003,08,11,20,47,00,169.997,-30.0803,0,Beagle2003Leg1_2003-08-11T20:47:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0092,0.0068,0.005,0.0027,0.0024,0.0021,0.0019,0.0018,0.0025,0.0026,0.0027,0.0061,0.0083,0.008,0.0004,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-12T01:13:00Z,2003,08,12,01,13,00,170.499,-30.095,0,Beagle2003Leg1_2003-08-12T01:13:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0112,0.0083,0.0061,0.0037,0.0033,0.0029,0.0027,0.0025,0.0032,0.0032,0.0034,0.0074,0.0101,0.0092,0.0004,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-13T00:40:00Z,2003,08,13,00,40,00,172.9992,-30.0843,0,Beagle2003Leg1_2003-08-13T00:40:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0076,0.0055,0.004,0.0021,0.0019,0.0017,0.0016,0.0016,0.0022,0.0022,0.0023,0.0052,0.0071,0.0061,0.0003,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-14T00:52:00Z,2003,08,14,00,52,00,176.01,-30.0083,0,Beagle2003Leg1_2003-08-14T00:52:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0134,0.0098,0.007,0.0036,0.0033,0.0028,0.0026,0.0025,0.0037,0.0036,0.0039,0.0091,0.0126,0.0107,0.0002,0
Beagle2003Leg1,Beagle,CSIRO,2003-08-15T01:31:00Z,2003,08,15,01,31,00,177.9867,-31.5832,0,Beagle2003Leg1_2003-08-15T01:31:00Z,ap,m-1,NA,NA,NA,NA,NA,0.0098,0.0071,0.0049,0.0027,0.0025,0.0021,0.0019,0.0018,0.0026,0.0026,0.0028,0.0068,0.0092,0.0082,0.0004,0
