CRUISE,ORIGINAL,COMPILED,Time,Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Depth,ID,Variable,Units,405,411,443,455,465,489,510,520,530,550,555,560,565,570,590,619,625,665,670,683,715,750
FR101997,FR,CSIRO,1997-12-01T05:26:00Z,1997,12,01,05,26,00,148.79867,-41.2765,0,FR101997_1997-12-01T05:26:00Z,aph,m-1,0.0316,0.0346,0.0437,0.0385,0.0387,NA,0.0156,0.0113,0.0088,0.0051,0.0045,NA,0.0031,0.0031,NA,0.0037,0.0042,0.0114,0.0149,0.01,0.0003,0.0002
FR101997,FR,CSIRO,1997-12-01T05:26:00Z,1997,12,01,05,26,00,148.79867,-41.2765,30,FR101997_1997-12-01T05:26:00Z,aph,m-1,0.0306,0.0334,0.0414,0.0377,0.0375,NA,0.0161,0.0122,0.0097,0.0061,0.0053,NA,0.0038,0.0035,NA,0.0041,0.0045,0.0112,0.0146,0.0098,0.0005,0.0001
FR101997,FR,CSIRO,1997-12-01T05:26:00Z,1997,12,01,05,26,00,148.79867,-41.2765,100,FR101997_1997-12-01T05:26:00Z,aph,m-1,0.0034,0.0036,0.004,0.0033,0.0032,NA,0.0023,0.0021,0.0018,0.0014,0.0014,NA,0.0013,0.0012,NA,0.0005,0.0005,0.0015,0.0018,0.0016,0.0001,0.0003
FR101997,FR,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,0,FR101997_1997-12-01T08:21:00Z,aph,m-1,0.0288,0.0315,0.0396,0.0346,0.0341,NA,0.014,0.011,0.0087,0.0051,0.0046,NA,0.0037,0.0036,NA,0.0045,0.0048,0.0121,0.0155,0.0104,0.0006,0
FR101997,FR,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,30,FR101997_1997-12-01T08:21:00Z,aph,m-1,0.0349,0.0384,0.049,0.0423,0.0419,NA,0.0168,0.0131,0.0103,0.006,0.0054,NA,0.0043,0.0043,NA,0.0055,0.0058,0.0143,0.0184,0.0122,0.0006,0
FR101997,FR,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,50,FR101997_1997-12-01T08:21:00Z,aph,m-1,0.0343,0.0376,0.0472,0.0413,0.041,NA,0.0169,0.0135,0.0108,0.0064,0.0058,NA,0.0047,0.0046,NA,0.0056,0.0058,0.0136,0.0175,0.0117,0.0007,0
FR101997,FR,CSIRO,1997-12-01T08:21:00Z,1997,12,01,08,21,00,148.654,-41.26617,100,FR101997_1997-12-01T08:21:00Z,aph,m-1,0.0119,0.0126,0.0131,0.012,0.0119,NA,0.0065,0.0054,0.0044,0.0027,0.0025,NA,0.002,0.0019,NA,0.0023,0.0024,0.0052,0.0064,0.0047,0.001,0.0001
FR101997,FR,CSIRO,1997-12-01T11:30:00Z,1997,12,01,11,30,00,148.402,-41.26233,0,FR101997_1997-12-01T11:30:00Z,aph,m-1,0.072,0.0782,0.0949,0.0817,0.0782,NA,0.0328,0.0257,0.0202,0.0121,0.0109,NA,0.0091,0.009,NA,0.0113,0.0121,0.03,0.0367,0.0257,0.002,0.0001
FR101997,FR,CSIRO,1997-12-01T11:30:00Z,1997,12,01,11,30,00,148.402,-41.26233,30,FR101997_1997-12-01T11:30:00Z,aph,m-1,0.0718,0.0779,0.0939,0.0811,0.079,NA,0.0337,0.0263,0.0208,0.0128,0.0114,NA,0.0094,0.0093,NA,0.0114,0.0121,0.0296,0.0364,0.0247,0.002,0.0002
FR101997,FR,CSIRO,1997-12-01T11:30:00Z,1997,12,01,11,30,00,148.402,-41.26233,45,FR101997_1997-12-01T11:30:00Z,aph,m-1,0.0628,0.068,0.0828,0.0731,0.0717,NA,0.0302,0.024,0.0194,0.0117,0.0103,NA,0.0085,0.0084,NA,0.0102,0.0107,0.0255,0.0315,0.022,0.0019,0.0002
