CRUISE,ORIGINAL,COMPILED,date,Year,Month,Day,time,Hour,Minute,Second,Longitude,Latitude,Depth,ID,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha-beta-Car,But-fuco,Hex-fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,MV_Chl_a,DV_Chl_a,Chlide_a,MV_Chl_b,DV_Chl_b,Chl_c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,TChl,PPC,PSC,PSP,TCar,TAcc,TPg,DP
AE1319,Cetinic,Chase,20130827,2013,08,27,13:13:00,13,13,0,-46.008,53.0089,5,AE1319_20130827,1.094,0.209,0.434,0.0265,0.1315,0.588,0.016,0.121,0.0135,0.1675,0.0355,0.0125,1.0255,0,0.0685,0.204,0.005,0.204,0.23,0.0255,0.0205,0.016,0.008,0.0345,0.005,0,1.737,0.1895,0.9225,2.6595,1.112,1.755,2.849,1.16
AE1319,Cetinic,Chase,20130828,2013,08,28,15:00:00,15,0,0,-42.7777,50.8574,5,AE1319_20130828,0.348,0.037,0.089,0.015,0.043,0.126,0.002,0.062,0.012,0.039,0.008,0.017,0.333,0.005,0.01,0.037,0,0.039,0.05,0.003,0.004,0.006,0.002,0.004,0.008,0,0.474,0.108,0.216,0.69,0.324,0.45,0.798,0.272
AE1319,Cetinic,Chase,20130829,2013,08,29,15:17:00,15,17,0,-40.0302,48.988,5,AE1319_20130829,0.403,0.055,0.126,0.01,0.046,0.165,0.001,0.018,0.002,0.028,0.016,0.013,0.398,0.003,0.002,0.053,0.002,0.058,0.068,0,0.004,0.004,0.004,0.005,0.011,0,0.584,0.044,0.255,0.839,0.299,0.48,0.883,0.324
AE1319,Cetinic,Chase,20130901,2013,09,01,16:08:00,16,8,0,-46.9728,43.3838,5,AE1319_20130901,0.133,0.018,0.015,0.012,0.005,0.014,0,0.007,0.001,0.008,0.004,0.055,0.091,0.041,0.001,0.014,0.004,0.009,0.006,0.002,0.001,0.002,0.002,0,0,0,0.166,0.075,0.031,0.197,0.106,0.139,0.272,0.104
AE1319,Cetinic,Chase,20130902,2013,09,02,15:00:00,15,0,0,-49.2722,41.5687,5,AE1319_20130902,0.0935,0.003,0.016,0.007,0.006,0.023,0,0.0155,0.002,0.0075,0.002,0.0295,0.0785,0.014,0.001,0.003,0,0.008,0.008,0,0,0.0015,0,0,0,0,0.1125,0.054,0.0385,0.151,0.0925,0.1115,0.205,0.071
AE1319,Cetinic,Chase,20130903,2013,09,03,15:11:00,15,11,0,-51.6965,39.6652,5,AE1319_20130903,0.09,0.007,0.011,0.009,0.004,0.009,0,0.008,0.001,0.005,0.003,0.066,0.058,0.03,0.002,0.005,0.002,0.007,0.004,0,0,0.001,0,0.005,0,0,0.108,0.084,0.021,0.129,0.105,0.123,0.213,0.094
AE1319,Cetinic,Chase,20130904,2013,09,04,15:02:00,15,2,0,-54.1941,37.6522,5,AE1319_20130904,0.057,0.0045,0.007,0.005,0.002,0.008,0,0.003,0,0.002,0.0015,0.0435,0.033,0.024,0,0.0025,0.002,0.004,0.003,0,0,0,0,0,0,0,0.0685,0.0515,0.0135,0.082,0.065,0.0765,0.134,0.0615
AE1319,Cetinic,Chase,20130905,2013,09,05,15:03:00,15,3,0,-56.6163,35.7119,5,AE1319_20130905,0.0485,0.004,0.0065,0.005,0.003,0.01,0,0.0065,0.001,0.003,0.0015,0.032,0.032,0.016,0.0005,0.0025,0.0015,0.0035,0.003,0,0,0.001,0,0,0,0,0.059,0.0445,0.0175,0.0765,0.062,0.0725,0.121,0.0535
AE1319,Cetinic,Chase,20130906,2013,09,06,14:58:00,14,58,0,-59.2539,33.6008,5,AE1319_20130906,0.07,0.004,0.01,0.007,0.005,0.015,0,0.005,0,0.004,0.002,0.031,0.056,0.013,0.001,0.003,0.001,0.005,0.005,0,0,0.001,0,0,0,0,0.084,0.043,0.026,0.11,0.069,0.083,0.153,0.061
AE1319,Cetinic,Chase,20130907,2013,09,07,15:00:00,15,0,0,-62.0168,32.3599,5,AE1319_20130907,0.067,0.005,0.008,0.007,0.003,0.013,0,0.01,0.001,0.003,0.002,0.039,0.045,0.021,0.001,0.003,0.002,0.004,0.004,0,0,0.001,0,0,0,0,0.08,0.057,0.021,0.101,0.078,0.091,0.158,0.065
