ID,Date/Time,Year,Month,Day,Hour,Minute,Latitude,Longitude,"acCDOM [1/m] (at 405 nm, incl. detrital abs...)","acCDOM [1/m] (at 411 nm, incl. detrital abs...)","acCDOM [1/m] (at 412 nm, incl. detrital abs...)","acCDOM [1/m] (at 440 nm, incl. detrital abs...)","acCDOM [1/m] (at 442 nm, incl. detrital abs...)","acCDOM [1/m] (at 443 nm, incl. detrital abs...)","acCDOM [1/m] (at 455 nm, incl. detrital abs...)","acCDOM [1/m] (at 465 nm, incl. detrital abs...)","acCDOM [1/m] (at 488 nm, incl. detrital abs...)","acCDOM [1/m] (at 489 nm, incl. detrital abs...)","acCDOM [1/m] (at 490 nm, incl. detrital abs...)","acCDOM [1/m] (at 510 nm, incl. detrital abs...)","acCDOM [1/m] (at 520 nm, incl. detrital abs...)","acCDOM [1/m] (at 530 nm, incl. detrital abs...)","acCDOM [1/m] (at 531 nm, incl. detrital abs...)","acCDOM [1/m] (at 547 nm, incl. detrital abs...)","acCDOM [1/m] (at 550 nm, incl. detrital abs...)","acCDOM [1/m] (at 555 nm, incl. detrital abs...)","acCDOM [1/m] (at 560 nm, incl. detrital abs...)","acCDOM [1/m] (at 565 nm, incl. detrital abs...)","acCDOM [1/m] (at 570 nm, incl. detrital abs...)","acCDOM [1/m] (at 590 nm, incl. detrital abs...)","acCDOM [1/m] (at 619 nm, incl. detrital abs...)","acCDOM [1/m] (at 620 nm, incl. detrital abs...)","acCDOM [1/m] (at 625 nm, incl. detrital abs...)","acCDOM [1/m] (at 665 nm, incl. detrital abs...)","acCDOM [1/m] (at 667 nm, incl. detrital abs...)","acCDOM [1/m] (at 670 nm, incl. detrital abs...)","acCDOM [1/m] (at 676 nm, incl. detrital abs...)","acCDOM [1/m] (at 681 nm, incl. detrital abs...)","acCDOM [1/m] (at 683 nm, incl. detrital abs...)","acCDOM [1/m] (at 705 nm, incl. detrital abs...)","acCDOM [1/m] (at 709 nm, incl. detrital abs...)",TSS [mg/l],Depth water [m],Comment (CDOM/detrital ac dataset),Comment (CDOM/detrital ac subdataset)
1,1997-01-02T12:48,1997,01,02,12,48,-64.815,-64.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,
20,1997-01-06T13:16,1997,01,06,13,16,-64.815,-64.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,
23,1997-01-06T14:22,1997,01,06,14,22,-64.788,-64.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,
24,1997-01-06T14:55,1997,01,06,14,55,-64.767,-64.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,
67,1997-01-09T21:26,1997,01,09,21,26,3,172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4332,,
86,1997-01-11T16:49,1997,01,11,16,49,-64.7984,-64.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,
87,1997-01-11T17:36,1997,01,11,17,36,-64.7889,-64.1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,
88,1997-01-11T18:16,1997,01,11,18,16,-64.7724,-64.1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,
89,1997-01-11T19:00,1997,01,11,19,00,-64.7663,-64.1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,
90,1997-01-11T22:15,1997,01,11,22,15,0,178.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5416,,
92,1997-01-12T12:54,1997,01,12,12,54,-65.4793,-66.1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,
94,1997-01-12T14:49,1997,01,12,14,49,-65.3546,-66.3809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,
95,1997-01-12T19:58,1997,01,12,19,58,-65.2328,-66.7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,
98,1997-01-13T08:43,1997,01,13,08,43,-64.9848,-67.3878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,
100,1997-01-13T11:07,1997,01,13,11,07,-64.8614,-67.6927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,
103,1997-01-13T15:19,1997,01,13,15,19,-64.7341,-67.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,
106,1997-01-13T20:30,1997,01,13,20,30,-64.6086,-68.2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526,,
107,1997-01-13T22:12,1997,01,13,22,12,0,-173.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5469,,
110,1997-01-14T19:04,1997,01,14,19,04,31.697,-64.152,0.04346,0.04023,,,,0.0267,0.0229,0.02017,,0.01488,,0.01142,0.01007,0.00889,,,0.00693,0.00652,0.00613,0.00575,0.00541,0.00423,0.00297,,0.00275,0.00171,,0.00161,,,0.00138,,,,4546,nomad,nomad_bats100
111,1997-01-14T21:16,1997,01,14,21,16,0,-170.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615,,
157,1997-01-16T01:31,1997,01,16,01,31,0,-167.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5198,,
163,1997-01-16T03:24,1997,01,16,03,24,0,-167.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180,,
165,1997-01-16T10:58,1997,01,16,10,58,-64.9325,-64.3973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214,,
168,1997-01-16T13:05,1997,01,16,13,05,-64.8127,-64.7166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,
169,1997-01-16T17:01,1997,01,16,17,01,-64.6955,-65.0306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,
170,1997-01-16T17:43,1997,01,16,17,43,-0.03333,-167.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5363,,
172,1997-01-16T21:31,1997,01,16,21,31,-64.5744,-65.3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,,
173,1997-01-17T00:56,1997,01,17,00,56,0,-167.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203,,
174,1997-01-17T03:22,1997,01,17,03,22,0,-167.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5021,,
176,1997-01-17T08:55,1997,01,17,08,55,-64.4544,-65.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,,
178,1997-01-17T11:13,1997,01,17,11,13,-64.3324,-65.9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,,
183,1997-01-17T15:13,1997,01,17,15,13,-64.2092,-66.2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,
186,1997-01-17T19:51,1997,01,17,19,51,-64.0896,-66.5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658,,
189,1997-01-17T23:41,1997,01,17,23,41,-0.01667,-167.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4612,,
199,1997-01-19T15:25,1997,01,19,15,25,-64.8147,-64.0483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,
200,1997-01-19T16:30,1997,01,19,16,30,-64.8054,-64.0724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,
201,1997-01-19T17:07,1997,01,19,17,07,-64.8004,-64.0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,
202,1997-01-19T17:46,1997,01,19,17,46,-64.7877,-64.1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,
203,1997-01-19T18:16,1997,01,19,18,16,-64.7751,-64.1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,
204,1997-01-21T08:37,1997,01,21,08,37,-64.8014,-64.1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,
206,1997-01-21T12:52,1997,01,21,12,52,-64.8476,-64.1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,,
207,1997-01-21T16:52,1997,01,21,16,52,-64.8947,-64.1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,
209,1997-01-21T21:19,1997,01,21,21,19,-64.9423,-64.2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,
217,1997-01-24T08:18,1997,01,24,08,18,-64.8554,-63.9585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,
219,1997-01-24T12:45,1997,01,24,12,45,-64.8744,-64.0756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,
221,1997-01-24T17:04,1997,01,24,17,04,-64.8962,-64.1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,
222,1997-01-24T21:10,1997,01,24,21,10,-64.9306,-64.2894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303,,
224,1997-01-25T11:55,1997,01,25,11,55,-64.7795,-64.0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,
226,1997-01-25T15:01,1997,01,25,15,01,-64.7879,-64.1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,
227,1997-01-25T18:13,1997,01,25,18,13,-65.0008,-64.5414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,,
228,1997-01-25T20:01,1997,01,25,20,01,-65.194,-64.6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,
229,1997-01-25T22:18,1997,01,25,22,18,-65.4461,-64.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,
235,1997-01-26T23:07,1997,01,26,23,07,-65.1479,-65.4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,
237,1997-01-27T10:04,1997,01,27,10,04,-66.2529,-67.3369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,
240,1997-01-27T11:41,1997,01,27,11,41,-66.1286,-67.6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,
243,1997-01-27T16:04,1997,01,27,16,04,-66.0029,-67.9732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,,
246,1997-01-27T20:10,1997,01,27,20,10,-65.878,-68.2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,
250,1997-01-28T00:10,1997,01,28,00,10,-65.7522,-68.5926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,
253,1997-01-28T08:43,1997,01,28,08,43,-65.6231,-68.8987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,,
256,1997-01-28T10:30,1997,01,28,10,30,-65.4985,-69.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,
