lambda,sw_ab(m-1),sw_st(m-1),sw_surface(uEm-2s-1/nm),acdom_Levitis2006,cdom_ab(m-1),det_ab(m2 part-1),det_st(m2 part-1),det_bst_ratio,small_euk_ap(m2 mgchla-1),small_euk_ap_ps(m2 mgchla-1),small_euk_st,small_euk_bs,syn_ap(m2 mgchla-1),syn_ap_ps(m2 mgchla-1),syn_st,syn_bs,proHL_ap(m2 mgchla-1),proHL_ap_ps(m2 mgchla-1),proHL_st,proHL_bs,proLL_ap(m2 mgchla-1),proLL_ap_ps(m2 mgchla-1),proLL_st,proLL_bs,coc_ap(m2 mgchla-1),coc_ap_ps(m2 mgchla-1),coc_st,coc_bs,diat_ap(m2 mgchla-1),diat_ap_ps(m2 mgchla-1),diat_st,diat_bs,others_ap(m2 mgchla-1),others_ap_ps(m2 mgchla-1),others_st,others_bs
400,0.0063,0.0076,0.003299,0.025995752,0.026,3.06E-17,5.10E-16,2.76E-18,0.0304,0.0304,0.09,0.000261,0.0292,0.0222,0.325,0.00104,0.0245,0.0165,0.0523,0.000292357,0.0385,0.022,0.0523,0.000292357,0.0195,0.0195,0.6432,NA,0.0169,0.0169,0.2997,0.00059940,0.02842,0.02212,0.23256,0.000697680
425,0.0051,0.0058,0.003538,0.013570973,0.0136,2.47E-17,4.80E-16,2.60E-18,0.0361,0.0361,0.087,0.0002523,0.0407,0.0257,0.2974,0.00095168,0.0401,0.0225,0.0464,0.000259376,0.0611,0.027,0.0464,0.000259376,0.0236,0.0236,0.6176,NA,0.02,0.02,0.2872,0.00057440,0.04032,0.02698,0.21896,0.000656880
450,0.0083,0.0045,0.003741,0.007084669,0.0071,1.96E-17,4.25E-16,2.30E-18,0.0378,0.0378,0.087,0.0002523,0.0371,0.0153,0.2831,0.00090592,0.0473,0.0171,0.0478,0.000267202,0.0744,0.0239,0.0478,0.000267202,0.0253,0.0253,0.5983,NA,0.0194,0.0194,0.277,0.00055400,0.04438,0.02388,0.2128,0.000638400
475,0.0119,0.0036,0.003865,0.003698522,0.0037,1.60E-17,4.35E-16,2.35E-18,0.0341,0.0341,0.088,0.0002552,0.0296,0.0075,0.279,0.0008928,0.0265,0.0054,0.0501,0.000280059,0.0583,0.0189,0.0501,0.000280059,0.0253,0.0253,0.5853,NA,0.0142,0.0142,0.2714,0.00054280,0.03476,0.01824,0.2105,0.000631500
500,0.0215,0.0029,0.003868,0.001930798,0.0019,1.29E-17,4.15E-16,2.25E-18,0.0238,0.0238,0.092,0.0002668,0.0315,0.0158,0.2748,0.00087936,0.0198,0.0008,0.051,0.00028509,0.0359,0.0019,0.051,0.00028509,0.0173,0.0173,0.579,NA,0.0129,0.0129,0.2675,0.00053500,0.02566,0.01192,0.20956,0.000628680
525,0.0407,0.0023,0.003744,0.001007965,0.001,1.04E-17,3.93E-16,2.13E-18,0.0161,0.0161,0.0991,0.00028739,0.0257,0.024,0.2594,0.00083008,0.0055,0.0016,0.0433,0.000242047,0.0122,0.0031,0.0433,0.000242047,0.0126,0.0126,0.5766,NA,0.0101,0.0101,0.264,0.00052800,0.01442,0.01148,0.20434,0.000613020
550,0.055,0.0019,0.00366,0.000526204,0.0005,8.47E-18,3.75E-16,2.03E-18,0.0089,0.0089,0.1082,0.00031378,0.0314,0.0314,0.2495,0.0007984,0.0027,0.0026,0.0364,0.000203476,0.0066,0.0063,0.0364,0.000203476,0.0072,0.0072,0.5726,NA,0.0072,0.0072,0.26,0.00052000,0.01136,0.01128,0.20062,0.000601860
575,0.0849,0.0016,0.003467,0.000274702,0.0003,6.92E-18,3.61E-16,1.95E-18,0.006,0.006,0.113,0.0003277,0.0134,0.0134,0.2307,0.00073824,0.0027,0.0027,0.0303,0.000169377,0.0054,0.0054,0.0303,0.000169377,0.005,0.005,0.5639,NA,0.0044,0.0044,0.257,0.00051400,0.0065,0.0065,0.19364,0.000580920
600,0.1995,0.0014,0.003203,0.000143407,0.0001,5.57E-18,3.47E-16,1.88E-18,0.0061,0.0061,0.115,0.0003335,0.0061,0.0061,0.2112,0.00067584,0.0033,0.0033,0.0277,0.000154843,0.006,0.006,0.0277,0.000154843,0.0055,0.0055,0.5495,NA,0.0037,0.0037,0.253,0.00050600,0.0054,0.0054,0.18622,0.000558660
625,0.285,0.0012,0.002939,7.49E-05,0.0001,4.49E-18,3.34E-16,1.81E-18,0.0064,0.0064,0.1143,0.00033147,0.0072,0.0072,0.202,0.0006464,0.0046,0.0046,0.0249,0.000139191,0.0066,0.0066,0.0249,0.000139191,0.0053,0.0053,0.5317,NA,0.0054,0.0054,0.2461,0.00049220,0.00602,0.00602,0.17956,0.000538680
650,0.3512,0.0009,0.002674,3.91E-05,0,3.64E-18,3.16E-16,1.71E-18,0.0062,0.0062,0.114,0.0003306,0.0072,0.0072,0.1939,0.00062048,0.0053,0.0053,0.0205,0.000114595,0.0115,0.0115,0.0205,0.000114595,0.0055,0.0055,0.5125,NA,0.0051,0.0051,0.237,0.00047400,0.00714,0.00714,0.17228,0.000516840
675,0.4559,0.0007,0.00241,2.04E-05,0,2.98E-18,3.08E-16,1.67E-18,0.0197,0.0197,0.114,0.0003306,0.0164,0.0164,0.1766,0.00056512,0.0175,0.0175,0.023,0.00012857,0.0179,0.0179,0.023,0.00012857,0.0156,0.0156,0.4943,NA,0.0165,0.0165,0.2265,0.00045300,0.01742,0.01742,0.16618,0.000498540
700,0.6433,0.0007,0.002145,1.07E-05,0,2.41E-18,2.99E-16,1.62E-18,0.0019,0.0019,0.111,0.0003219,0.0032,0.0032,0.1603,0.00051296,0.0035,0.0035,0.0223,0.000124657,0.0044,0.0044,0.0223,0.000124657,0.0014,0.0014,0.4758,NA,0.0019,0.0019,0.2165,0.00043300,0.00288,0.00288,0.15834,0.000475020
