"","V1","V2","V3","V4","V5"
"400"," 400","0.0335","0.0282","0.0679","0.000116978"
"425"," 425","0.0406","0.0320","0.0641","0.000116978"
"450"," 450","0.0411","0.0277","0.0639","0.000116978"
"475"," 475","0.0338","0.0200","0.0650","0.000116978"
"500"," 500","0.0251","0.0157","0.0680","0.000116978"
"525"," 525","0.0136","0.0120","0.0679","0.000116978"
"550"," 550","0.0100","0.0100","0.0663","0.000116978"
"575"," 575","0.0074","0.0074","0.0643","0.000116978"
"600"," 600","0.0063","0.0063","0.0609","0.000116978"
"625"," 625","0.0073","0.0073","0.0574","0.000116978"
"650"," 650","0.0092","0.0092","0.0539","0.000116978"
"675"," 675","0.0165","0.0164","0.0508","0.000116978"
"700"," 700","0.0070","0.0072","0.0554","0.000116978"
