l;HLPro_B;HLPro_BB;LLPro_B;LLPro_BB;Syn_B;Syn_BB;SmEuk_B;SmEuk_BB;Coccoli_B;Coccoli_BB;Lg euk_B;Lg euk_BB;Diatog_B;Diatog_BB;Small_B;Small_BB;Diatom_B;Diatom_BB
400;0.0035;0.000014685;0.0035;0.000014685;0.00772;0.000013127;0.00703;0.000003728;0.00656;0.000002516;0.00071;0.000001735;0.00352;0.00000024;0.067944;0.000116978;0.04224;0.00000288
425;0.00325;0.000014685;0.00325;0.000014685;0.00711;0.000013127;0.00667;0.000003728;0.00642;0.000002516;0.0007;0.000001735;0.00336;0.00000024;0.06408;0.000116978;0.04032;0.00000288
450;0.00337;0.000014685;0.00337;0.000014685;0.00676;0.000013127;0.00669;0.000003728;0.00645;0.000002516;0.00067;0.000001735;0.00336;0.00000024;0.063936;0.000116978;0.04032;0.00000288
475;0.00337;0.000014685;0.00337;0.000014685;0.00618;0.000013127;0.00737;0.000003728;0.00681;0.000002516;0.00068;0.000001735;0.00354;0.00000024;0.06504;0.000116978;0.04248;0.00000288
500;0.00329;0.000014685;0.00329;0.000014685;0.00578;0.000013127;0.00834;0.000003728;0.00762;0.000002516;0.00074;0.000001735;0.00362;0.00000024;0.067968;0.000116978;0.04344;0.00000288
525;0.00289;0.000014685;0.00289;0.000014685;0.00534;0.000013127;0.00908;0.000003728;0.00811;0.000002516;0.00079;0.000001735;0.00368;0.00000024;0.067944;0.000116978;0.04416;0.00000288
550;0.00248;0.000014685;0.00248;0.000014685;0.00492;0.000013127;0.00936;0.000003728;0.0084;0.000002516;0.00085;0.000001735;0.00364;0.00000024;0.066336;0.000116978;0.04368;0.00000288
575;0.00217;0.000014685;0.00217;0.000014685;0.00468;0.000013127;0.00936;0.000003728;0.0084;0.000002516;0.00091;0.000001735;0.00359;0.00000024;0.064272;0.000116978;0.04308;0.00000288
600;0.00194;0.000014685;0.00194;0.000014685;0.00419;0.000013127;0.00909;0.000003728;0.00821;0.000002516;0.00092;0.000001735;0.00351;0.00000024;0.060888;0.000116978;0.04212;0.00000288
625;0.00173;0.000014685;0.00173;0.000014685;0.00378;0.000013127;0.00866;0.000003728;0.00803;0.000002516;0.00093;0.000001735;0.00341;0.00000024;0.057432;0.000116978;0.04092;0.00000288
650;0.00153;0.000014685;0.00153;0.000014685;0.00345;0.000013127;0.00819;0.000003728;0.00775;0.000002516;0.00093;0.000001735;0.00323;0.00000024;0.05388;0.000116978;0.03876;0.00000288
675;0.00154;0.000014685;0.00154;0.000014685;0.00321;0.000013127;0.00755;0.000003728;0.00731;0.000002516;0.00086;0.000001735;0.00299;0.00000024;0.05076;0.000116978;0.03588;0.00000288
700;0.00156;0.000014685;0.00156;0.000014685;0.00326;0.000013127;0.00876;0.000003728;0.00795;0.000002516;0.00097;0.000001735;0.00309;0.00000024;0.055416;0.000116978;0.03708;0.00000288
