"","OG","ps_type","ap_type","ps_phy","ps_dia","ap_phy","ap_dia","qy_phy","qy_dia"
"1",1,"a","1",0.007,0.007,0.015,0.015,0.000231,0.000314
"2",1,"a","2",0.007,0.007,0.023,0.023,0.000231,0.000314
"3",1,"a","3",0.007,0.007,0.03,0.03,0.000231,0.000314
"4",1,"b","1",0.015,0.015,0.015,0.015,0.000108,0.000147
"5",1,"b","2",0.015,0.015,0.023,0.023,0.000108,0.000147
"6",1,"b","3",0.015,0.015,0.03,0.03,0.000108,0.000147
"7",1,"c","2",0.023,0.023,0.023,0.023,7e-05,9.6e-05
"8",1,"c","3",0.023,0.023,0.03,0.03,7e-05,9.6e-05
"9",2,"d","1",0.009,0.007,0.012,0.007,0.00018,0.000314
"10",2,"d","2",0.009,0.007,0.016,0.0106,0.00018,0.000314
"11",2,"d","3",0.009,0.007,0.021,0.0143,0.00018,0.000314
"12",2,"e","1",0.0151,0.0131,0.021,0.0143,0.000107,0.000168
"13",2,"e","2",0.0151,0.0131,0.026,0.018,0.000107,0.000168
"14",2,"e","3",0.0151,0.0131,0.03,0.021,0.000107,0.000168
"15",2,"f","1",0.025,0.021,0.03,0.021,6.5e-05,0.000105
"16",2,"f","2",0.025,0.021,0.035,0.025,6.5e-05,0.000105
"17",2,"f","3",0.025,0.021,0.04,0.029,6.5e-05,0.000105
"18",2,"g","1",0.025,0.0131,0.04,0.0143,6.5e-05,0.000168
"19",2,"h","1",0.025,0.007,0.04,0.007,6.5e-05,0.000314
"20",2,"i","1",0.0151,0.007,0.021,0.007,0.000107,0.000314
