test,number,OG,ps_type,ap_type,name,date,start,end,runtime,path,tiny,k_w,ap_s,astar,QY,alpha,degCHL_phyto,slope_phy,ap_d,astar_d,QY_d,alpha_d,degCHL_diatom,slope_dia,scatter,aparcoeff,bparcoeff,size,Scdom,lambda,build
phytoPS,NA,2,NA,NA,radtrans_marshall_oasim_aphycnt_initial_chla,06/23/20,16:21,19:32,03:11,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.02,0.0153,0.0001059,0.14,0.25,NA,0.0127,0.0124,0.0001732,0.19,0.15,,D,0.016,0.345,NA,0.021,450,build_14_radtrans_aphycnt_chla
phytoPS,NA,1,NA,NA,radtrans_marshall_oasim_aphycnt_paper_chla,06/24/20,20:22,23:28,03:06,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.03,0.007,0.00023,0.14,0.25,NA,0.03,0.007,0.000314,0.19,0.15,,D,0.016,0.345,NA,0.021,450,build_14_radtrans_aphycnt_chla
phytoPS,NA,2,NA,NA,radtrans_marshall_oasim_aphycnt_initial_carbon,10/12/20,20:23,23:36,03:13,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.0210,0.0166,0.0001073,0.14,0.25,NA,0.0143,0.0143,1.68E-04,0.19,0.15,,D,0.016,0.345,NA,0.021,450,build_14_radtrans_aphycnt_carbon
phytoPS,NA,1,NA,NA,radtrans_marshall_oasim_aphycnt_paper_carbon,10/13/20,20:56,00:03,03:07,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.03,0.007,0.00023,0.14,0.25,NA,0.03,0.007,0.000314,0.19,0.15,,D,0.016,0.345,NA,0.021,450,build_14_radtrans_aphycnt_carbon
phytoPS,NA,1,NA,NA,radtrans_marshall_oasim_aphyvar_initial_carbon_1slope_1group,10/14/20,14:10,17:29,03:19,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.0210,0.0166,0.0001073,0.14,0.25,0.001997,0.0143,0.0143,1.68E-04,0.19,0.15,0,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphyvar_carbon_1slope_1group
phytoPS,NA,2,NA,NA,radtrans_marshall_oasim_aphyvar_initial_carbon_1slope_2group,10/22/20,20:11,23:30,03:19,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.0210,0.0166,0.0001073,0.14,0.25,0.001054,0.0143,0.0143,1.68E-04,0.19,0.15,0.000752,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphyvar_carbon_1slope_2group
phytoPS,NA,1,NA,NA,radtrans_marshall_oasim_aphyvar_initial_carbon_1slope_1group_new,11/13/20,14:40,17:48,03:08,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.0210,0.0166,0.0001073,0.14,0.25,0.00222,0.0143,0.0143,1.68E-04,0.19,0.15,0,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphyvar_carbon_1slope_1group
phytoPS,NA,2,NA,NA,radtrans_marshall_oasim_aphyvar_initial_carbon_1slope_2group_new,11/11/20,18:38,21:48,03:10,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.0210,0.0166,0.0001073,0.14,0.25,0.00193,0.0143,0.0143,1.68E-04,0.19,0.15,0.00142,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphyvar_carbon_1slope_2group
phytoPS,NA,2,NA,NA,radtrans_marshall_oasim_aphyvar_initial_carbon_1slope_2group_fix,11/13/20,20:53,00:02,03:09,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.0210,0.0166,0.0001073,0.14,0.25,0.00193,0.0143,0.0143,1.68E-04,0.19,0.15,0.00142,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphyvar_carbon_1slope_2group
constant,1,1,a,1,radtrans_constant_01,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.015,0.007,0.000231,0.14,0.25,NA,0.015,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,2,1,a,2,radtrans_constant_02,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.023,0.007,0.000231,0.14,0.25,NA,0.023,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,3,1,a,3,radtrans_constant_03,11/16/20,14:56,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.03,0.007,0.000231,0.14,0.25,NA,0.03,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,4,1,b,1,radtrans_constant_04,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.015,0.015,0.000108,0.14,0.25,NA,0.015,0.015,0.000147,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,5,1,b,2,radtrans_constant_05,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.023,0.015,0.000108,0.14,0.25,NA,0.023,0.015,0.000147,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,6,1,b,3,radtrans_constant_06,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.03,0.015,0.000108,0.14,0.25,NA,0.03,0.015,0.000147,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,7,1,c,2,radtrans_constant_07,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.023,0.023,7.00E-05,0.14,0.25,NA,0.023,0.023,9.60E-05,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,8,1,c,3,radtrans_constant_08,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.03,0.023,7.00E-05,0.14,0.25,NA,0.03,0.023,9.60E-05,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,9,2,d,1,radtrans_constant_09,11/16/20,15:06,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.012,0.009,0.00018,0.14,0.25,NA,0.007,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,10,2,d,2,radtrans_constant_10,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.016,0.009,0.00018,0.14,0.25,NA,0.0106,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
constant,11,2,d,3,radtrans_constant_11,,,,,/Users/ealvarez/Datos/Ser_Stan/global_14_aphyt/,1E-08,0.04,0.021,0.009,0.00018,0.14,0.25,NA,0.0143,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
